label,d_s,alpha_pred,alpha_med,alpha_std,n,delta
seed0 main,2.9640329244211854,0.9640329244211854,1.1046159806999416,0.3285379476405392,109,0.1405830562787562
seed0 n=300,2.9640329244211854,0.9640329244211854,1.1546576931467198,0.3424886215268911,202,0.1906247687255344
seed0 centers seed1,2.9640329244211854,0.9640329244211854,1.20217722785233,0.3617653144377197,102,0.2381443034311445
matrix seed1,2.97042306888682,0.97042306888682,1.259707713778825,0.4009107527343552,104,0.289284644892005
"UV [0.10,0.40]",2.9640329244211854,0.9640329244211854,0.5333414506992794,0.3484390663649819,119,-0.4306914737219059
"IR [0.20,0.60]",2.9640329244211854,0.9640329244211854,1.1396655694058908,0.2767449769342963,85,0.1756326449847054
