fit_quality_category,n,median_BuPfresh,median_NFW2,median_NFWcfixed,BuP_win_NFW2,BuP_win_NFWcfixed,rt_upper,w_upper,median_rt_over_Rd,median_w_over_Rd
excellent,32,0.12562358766545378,0.5726741100173208,0.9705230348733728,0.84375,0.90625,0.03125,0.15625,1.130433420413929,0.6846941422201953
good,27,0.25911913149840127,1.0599206790554159,2.378989883089448,0.7777777777777778,0.9629629629629629,0.0,0.0,1.0662218755237685,0.4792699347196388
medium,48,0.4552357189231113,1.047785129787746,2.1396052623154667,0.8125,0.9791666666666666,0.0,0.1875,1.034235265290864,0.4622758504659007
poor,68,1.7060790092705798,3.2731946611022087,6.591032703193596,0.8676470588235294,0.9411764705882353,0.014705882352941176,0.04411764705882353,1.4965228314099472,0.7402194682009477
