lambda,file,O_init,O_final,Delta_O,O_signed_init,O_signed_final,phase,d_s_initial,d_s_final,S_initial,S_final,Delta_S,M_initial,M_final,R_initial,R_final,K_initial,K_final,d_star_used
0.0,MI_N20_lam0.00.csv,-0.11977716157157746,-0.4182027649769585,-0.29842560340538105,0.16746710601447098,0.34562211981566826,non_source,0.8811099220576001,0.8822063243530787,12.58077985255533,0.008561080403116534,-12.572218772152212,0.04173511271546565,0.04163953919536265,0.1181156022144623,0.11817753196452563,1.748942962787185,1.7488751159541702,0.8811099220576001
0.14,MI_N20_lam0.14.csv,-0.12702148411704745,-0.5410906298003073,-0.41406914568325986,0.15597950110100947,0.43346774193548393,non_source,0.8818413357734112,0.8828902775745684,15.969690453726052,0.007311577550700212,-15.962378876175352,0.048240805885455325,0.048340401795484045,0.10584615427084791,0.10596316193415603,1.841218601186096,1.8410296670072737,0.8818413357734112
0.29,MI_N20_lam0.29.csv,0.025688850592337973,-0.04997355896351136,-0.07566240955584934,0.09828432538675136,0.34960338445267053,source_decohered,0.8878459162372623,0.888888451968019,25.402157175791846,0.006490959196708012,-25.39566621659514,0.05559641666293529,0.05600187833501602,0.098178025315087,0.0982786107025019,1.8895674851070503,1.8875752948532398,0.8878459162372623
0.43,MI_N20_lam0.43.csv,0.08986416229638257,-0.2639873083024854,-0.35385147059886796,0.037961458020403,0.25732416710735057,source_decohered,0.8916499268110861,0.8922808832384741,46.059068957063865,0.006415293496870278,-46.05265366356699,0.06353907827276947,0.06370799916306265,0.09494129491693455,0.09511226847033386,2.023115176963586,2.016831334779182,0.8916499268110861
0.57,MI_N20_lam0.57.csv,0.2331512380540153,-0.20259122157588574,-0.43574245962990105,0.06558287973855711,0.3836065573770491,source_decohered,0.8939322538684409,0.8943647304220528,93.89047361896378,0.012777174826843079,-93.87769644413694,0.071760674408089,0.07187823284413355,0.09556871640320361,0.09549299814780916,2.3778438237158928,2.3783534498798464,0.8939322538684409
0.71,MI_N20_lam0.71.csv,-0.30491484185667395,-0.21914331041776833,0.08577153143890562,0.6762512303345075,0.6114754098360655,non_source,0.8959920452302945,0.8965134402041242,0.011360617712717447,0.011347797536176192,-1.2820176541255765e-05,0.03800703840581675,0.03796728577104717,0.6160601575571291,0.6153632511289467,1.8383034269988783,1.8383547790995955,0.8959920452302945
0.86,MI_N20_lam0.86.csv,-0.07260944817409937,-0.015282919090428341,0.05732652908367103,0.5596879103518283,0.5342147012162876,non_source,0.8957397118894784,0.8961368252865756,0.01207771467501913,0.012043853377413902,-3.386129760522827e-05,0.012263510800304633,0.012263996530159655,0.9744641532852831,0.9748218093646983,1.9027183043459766,1.9033817117699174,0.8957397118894784
1.0,MI_N20_lam1.00.csv,0.046290176431575195,0.11866737176097301,0.07237719532939782,0.37383946486140124,0.4040190375462718,source_stable,0.8951019732679701,0.8954280254647676,0.012022474751202064,0.012016144903732187,-6.329847469876623e-06,0.0065293259549024235,0.006532885266378301,1.1185871879264873,1.1239093184242963,1.8731644369353007,1.8854041095974083,0.8951019732679701
