xi,h0,j0,control_mode,ground_state_energy,mean_single_site_entropy,max_single_site_entropy,mean_mutual_information,max_mutual_information,verdict,corr_rho_sigma,rmse_normalized,kl_rho_ent_to_sigma,kl_sigma_to_rho_ent,R_ent_fit,R_sigma_fit,R_d_target,R_d_relative_error,J_eff_mean,J_eff_sum_norm,J_eff_max,J_eff_spectral,J_eff_mean_over_h0,J_eff_spectral_over_h0,xi_over_h0,h0_over_xi
2.0,0.3,1.0,shuffled_sigma,-3.6920875710488996,0.11621203479772536,0.29884872045626204,0.029687304464692095,0.21573279188858285,strong_closure,0.9997216971357379,0.026489489280683218,0.008799855454069791,0.0104093158425657,2.7364310454238496,2.999999999747567,3.0,0.08785631819205013,0.01796720368158739,0.01796720368158739,0.10836802322189586,0.3196198295320666,0.05989067893862464,1.0653994317735553,6.666666666666667,0.15
2.0,0.5,1.0,shuffled_sigma,-6.046798110282063,0.0397681108566502,0.10912634097440027,0.008802649669929294,0.07529329171721533,moderate_closure,0.9992377424634704,0.050290753654263845,0.01643423490796975,0.01881300423753398,2.38612627964135,2.999999999747567,3.0,0.20462457345288332,0.01796720368158739,0.01796720368158739,0.10836802322189586,0.3196198295320666,0.03593440736317478,0.6392396590641332,4.0,0.25
2.0,0.8,1.0,shuffled_sigma,-9.626886318129626,0.015677691899700332,0.04406253182839621,0.003273417334486002,0.02957351524454891,moderate_closure,0.9980317505170804,0.05930740697520763,0.019780326819076086,0.022127287748085242,2.2717979000437194,2.999999999747567,3.0,0.2427340333187602,0.01796720368158739,0.01796720368158739,0.10836802322189586,0.3196198295320666,0.022459004601984238,0.3995247869150832,2.5,0.4
2.0,1.0,1.0,shuffled_sigma,-12.020948005570675,0.010211886014601572,0.028894328407706116,0.0020963348648708434,0.019193829513803384,moderate_closure,0.9975968524288358,0.061646968321717066,0.02067599181177272,0.022990979281519774,2.2424573644664894,2.999999999747567,3.0,0.25251421184450357,0.01796720368158739,0.01796720368158739,0.10836802322189586,0.3196198295320666,0.01796720368158739,0.3196198295320666,2.0,0.5
2.5,0.3,1.0,shuffled_sigma,-3.8154739052756663,0.253999200726236,0.5560903161420353,0.08676829315974836,0.42167997958320325,moderate_closure,0.9836536112676632,0.062336699425621624,0.015512332842977782,0.01478079202134986,4.002795645331001,2.999999999747567,3.0,0.33426521511033364,0.026675367506451494,0.026675367506451494,0.15123975969049572,0.4427486870949917,0.08891789168817164,1.4758289569833059,8.333333333333334,0.12
2.5,0.5,1.0,shuffled_sigma,-6.0979034902078055,0.08100606047427357,0.20670534154849685,0.02058862416624408,0.147094162550873,strong_closure,0.9985434441742267,0.015027112000864106,0.003245671895340415,0.0034834676992785037,3.035319495273648,2.999999999747567,3.0,0.011773165091216065,0.026675367506451494,0.026675367506451494,0.15123975969049572,0.4427486870949917,0.05335073501290299,0.8854973741899834,5.0,0.2
2.5,0.8,1.0,shuffled_sigma,-9.653250161258084,0.029910068772844953,0.08050955086178699,0.0067876482943302835,0.05613637629232833,strong_closure,0.9999800567770469,0.022229202270564515,0.004840459340637992,0.005378982513382088,2.7430512078817055,2.999999999747567,3.0,0.08564959737276483,0.026675367506451494,0.026675367506451494,0.15123975969049572,0.4427486870949917,0.033344209383064365,0.5534358588687396,3.125,0.32
2.5,1.0,1.0,shuffled_sigma,-12.040838355896916,0.01909857193120083,0.05211755345775508,0.004202670556737266,0.03609150509924114,strong_closure,0.9999807544945799,0.026453881365898848,0.005625621180932256,0.006200456528259755,2.6741916708423332,2.999999999747567,3.0,0.10860277638588893,0.026675367506451494,0.026675367506451494,0.15123975969049572,0.4427486870949917,0.026675367506451494,0.4427486870949917,2.5,0.4
3.0,0.3,1.0,shuffled_sigma,-4.027390480268033,0.4294551252677496,0.7784176793824455,0.19989544056571698,0.6368256209999263,weak_or_failed_closure,0.949073159866985,0.12301916249089025,0.06544432991400524,0.061524107473733505,5.795160426944132,2.999999999747567,3.0,0.9317201423147106,0.03548898708212836,0.03548898708212836,0.1888756028375618,0.560133361385599,0.11829662360709453,1.8671112046186633,10.0,0.09999999999999999
3.0,0.5,1.0,shuffled_sigma,-6.1752956122924445,0.14405188244215603,0.3347251909826279,0.043176977422649705,0.2406388622065646,moderate_closure,0.9896380539884865,0.05311425626692207,0.011332989081832504,0.01089145729485946,3.8513208702372856,2.999999999747567,3.0,0.28377362341242857,0.03548898708212836,0.03548898708212836,0.1888756028375618,0.560133361385599,0.07097797416425672,1.120266722771198,6.0,0.16666666666666666
3.0,0.8,1.0,shuffled_sigma,-9.689057395340221,0.04933753292786618,0.12619423173429475,0.012277158742223392,0.08864499373782048,strong_closure,0.9976430583096665,0.020387854561344888,0.002306661358473689,0.0022618567753481264,3.250883990656958,2.999999999747567,3.0,0.08362799688565274,0.03548898708212836,0.03548898708212836,0.1888756028375618,0.560133361385599,0.04436123385266045,0.7001667017319987,3.75,0.26666666666666666
