center,alpha,R2_free,R2_newton,n_pairs
167,0.7689137505058936,0.8892410600362566,0.8877529903186119,171
469,1.7983259591528016,0.9055215240139379,0.8851549106621159,169
144,1.2275158305644132,0.9153333289459455,0.9137396630829588,153
711,1.0291081485275573,0.9027563427737451,0.9027332527637766,223
688,0.7809223047726671,0.8700749366663318,0.8690461914828481,176
145,1.1019880214308027,0.8968034948607776,0.8965219870748692,253
694,1.5130832081409136,0.8973034999554993,0.8900800661422935,168
381,1.6138610717017747,0.8858864222769897,0.8781659375332358,227
382,1.2147448951290305,0.8577718618138179,0.8567031448857734,223
779,1.389622244993791,0.8451871122096197,0.840990144168177,234
309,1.4459649652171307,0.9164949491307358,0.9116681527684967,197
268,1.9292993862603542,0.8821110131450715,0.8612669004925334,198
194,0.42361328546690075,0.8649308772776951,0.8577976543377369,221
508,1.5306101793099693,0.9231932038526015,0.9155418760006028,167
274,0.4199836116970107,0.857400552592565,0.8485814426412455,194
653,0.7810909204268177,0.9067837059200282,0.9054538074736855,200
667,1.0325024366779219,0.9013062901229364,0.9012856632052381,234
523,1.5748623586270172,0.7880882337102763,0.7824707792787716,201
333,1.412772132277813,0.8456312925141992,0.8418174260621621,205
543,0.8698397401466684,0.89115849411294,0.8906792489229068,196
761,0.9544601947373277,0.8894113520367805,0.8893631904518113,228
208,1.5022502437095968,0.8554542278494445,0.849057581336728,203
110,1.7043814356521658,0.7671416582963999,0.7534446549683267,215
362,1.5565771604695235,0.7928299862987727,0.7867711787420644,189
441,1.8743346457493661,0.8977690378010365,0.8765480718508332,195
557,0.6993719737105086,0.8793816031731059,0.8771389107891122,188
767,1.7568083607807794,0.8768926260355348,0.8606989584922758,208
702,0.7673246008820009,0.8893492425385531,0.8881593634356759,193
614,1.4882614439907575,0.8806968672238733,0.8739338762014346,240
787,1.3275295289191391,0.9168972095478347,0.9144682343634607,187
334,1.1369860018765472,0.8530225148311481,0.8524446589795683,183
710,1.2776927066328871,0.9327788586711842,0.9302239597761595,231
196,1.4256459993052046,0.8430753610294242,0.8395053843334774,192
380,1.1878172498196276,0.850346257816937,0.8491739750628458,216
139,0.3720760727197505,0.8520945222232832,0.8422218043402518,223
608,0.8401541112918671,0.8974355481877339,0.8968501320242628,189
506,0.8987131568396538,0.7863905949305028,0.7860868629465758,192
211,1.2207098233547384,0.9091636599056059,0.9078400574210009,215
651,1.3316484032099756,0.9150449738621924,0.9113227452290218,226
720,1.2187622964408455,0.8398905052024173,0.8385255368620071,215
42,2.029625995636487,0.8949426673977261,0.8698097555388257,233
513,1.4613242377786024,0.8894810794641737,0.8838894647559804,201
62,0.9594864596314984,0.8709142294836142,0.8708656207789318,173
367,1.597347683956035,0.807429980143962,0.799875544623408,202
205,1.0819196010411416,0.846839246330518,0.8466748927901381,191
751,1.2006127719531727,0.9032893093619843,0.9022736379301972,201
634,1.2921282568996573,0.9053041741689305,0.9028441289921803,203
770,1.1398148950029787,0.9084944035306247,0.9080076239931225,209
5,1.1781176456397398,0.8327037400802126,0.8319680328671339,226
368,1.507702732660534,0.7521004341311265,0.7465883435134142,232
563,0.8181652411121435,0.8557200666293153,0.8548826201236333,228
170,1.599241239466428,0.8859468976945297,0.8759170249082655,218
520,1.104804434088103,0.8844833631039353,0.8842548362169825,201
625,1.3188023975106362,0.8537929450230191,0.8509613177280935,200
797,2.3540887996708335,0.7147064877555895,0.6750288059275519,197
571,1.5842728128867913,0.8570586339157666,0.8481095252820783,224
592,1.3690730782745828,0.829446578229524,0.8256214346759302,209
306,1.036617771569235,0.8433494443486648,0.8433201738542999,189
